,categoryName,grossProfit,grossProfitRate,saleAmount,saleIncome,serialNum,supplierName,totalCost
3,调料,18.00,20.00%,12,90.00,6934126261899,山东鲁花集团商贸有限公司西安分公司,72.00
4,调料,12.00,20.00%,4,60.00,6958104100321,山东鲁花集团商贸有限公司西安分公司,48.00
5,调料,27.20,22.82%,8,119.20,6931299062681,山东鲁花集团商贸有限公司西安分公司,92.00
6,调料,5.40,20.45%,3,26.40,6934126261844,山东鲁花集团商贸有限公司西安分公司,21.00
7,调料,9.00,17.65%,6,51.00,6931299062605,山东鲁花集团商贸有限公司西安分公司,42.00
8,调料,5.60,28.57%,2,19.60,6934126262933,山东鲁花集团商贸有限公司西安分公司,14.00
9,调料,2.00,29.41%,1,6.80,6958104101007,山东鲁花集团商贸有限公司西安分公司,4.80
10,调料,8.70,19.46%,3,44.70,6958104101021,山东鲁花集团商贸有限公司西安分公司,36.00
11,调料,94.80,24.01%,12,394.80,6971114920178,山东鲁花集团商贸有限公司西安分公司,300.00
12,调料,4.60,20.35%,2,22.60,6973141130179,山东鲁花集团商贸有限公司西安分公司,18.00
13,调料,31.20,28.06%,8,111.20,6934230050129,山东鲁花集团商贸有限公司西安分公司,80.00
15,副食类,228.00,19.39%,24,1176.00,6973141120088,山东鲁花集团商贸有限公司西安分公司,948.00
17,食用橄榄油,10.00,13.33%,1,75.00,6971114920017,山东鲁花集团商贸有限公司西安分公司,65.00
18,食用橄榄油,43.60,10.91%,4,399.60,6916168620773,山东鲁花集团商贸有限公司西安分公司,356.00
20,食用油,528.00,4.03%,88,13112.00,6916168616554,山东鲁花集团商贸有限公司西安分公司,12584.00
22,食用油菜籽,309.60,12.91%,24,2397.60,6938749816122,山东鲁花集团商贸有限公司西安分公司,2088.00
25,乳制品纯奶类,18.00,15.38%,6,117.00,6970339116557,陕西小大贸易有限公司,99.00
26,乳制品纯奶类,117.00,20.00%,9,585.00,6923644232658,陕西小大贸易有限公司,468.00
27,乳制品纯奶类,70.00,14.71%,7,476.00,6923644297251,陕西小大贸易有限公司,406.00
28,乳制品纯奶类,26.00,19.12%,2,136.00,6923644299804,陕西小大贸易有限公司,110.00
29,乳制品纯奶类,162.00,15.25%,18,1062.00,6923644266318,陕西小大贸易有限公司,900.00
30,乳制品纯奶类,31.00,20.39%,2,152.00,6923644295844,陕西小大贸易有限公司,121.00
40,乳制品酸奶类,14.00,24.14%,4,58.00,6970339117554,陕西小大贸易有限公司,44.00
41,乳制品酸奶类,17.50,24.14%,5,72.50,6970339117523,陕西小大贸易有限公司,55.00
42,乳制品酸奶类,44.00,25.00%,44,176.00,6970339116373,陕西小大贸易有限公司,132.00
43,乳制品酸奶类,81.00,13.85%,9,585.00,6970339116151,陕西小大贸易有限公司,504.00
44,乳制品酸奶类,1.70,22.67%,1,7.50,6970339117646,陕西小大贸易有限公司,5.80
45,乳制品酸奶类,4.80,18.60%,2,25.80,6970339117998,陕西小大贸易有限公司,21.00
46,乳制品酸奶类,4.00,19.05%,2,21.00,6970339116915,陕西小大贸易有限公司,17.00
47,乳制品酸奶类,16.00,22.22%,16,72.00,6970339117097,陕西小大贸易有限公司,56.00
48,乳制品酸奶类,16.80,15.91%,24,105.60,6970339117844,陕西小大贸易有限公司,88.80
49,乳制品酸奶类,2.80,15.56%,4,18.00,6970339116137,陕西小大贸易有限公司,15.20
50,乳制品酸奶类,10.80,19.42%,4,55.60,6970339118186,陕西小大贸易有限公司,44.80
51,乳制品酸奶类,54.40,37.78%,32,144.00,6970339116144,陕西小大贸易有限公司,89.60
52,乳制品酸奶类,33.60,15.56%,48,216.00,6970339116120,陕西小大贸易有限公司,182.40
